epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,873.673,1.24056,0.70227,1.06397,0.93246,0.84328,0.90778,0.58929,1.35921,0.74224,1.09227,0.00055075,0.00055075,0.00055075
20,919.63,1.24068,0.69486,1.07384,0.94353,0.8938,0.93599,0.60753,1.3647,0.67459,1.0886,0.000546625,0.000546625,0.000546625
21,965.622,1.22962,0.68709,1.07698,0.9213,0.87942,0.93193,0.59639,1.37838,0.73058,1.09606,0.0005425,0.0005425,0.0005425
22,1011.4,1.23758,0.68462,1.06696,0.91807,0.87831,0.928,0.58924,1.39379,0.74088,1.09715,0.000538375,0.000538375,0.000538375
23,1057.28,1.229,0.67935,1.07068,0.92585,0.86968,0.93197,0.61629,1.31469,0.68485,1.06315,0.00053425,0.00053425,0.00053425
24,1103.36,1.20773,0.65295,1.05232,0.91023,0.89283,0.92517,0.59877,1.33824,0.72265,1.08086,0.000530125,0.000530125,0.000530125
25,1149.15,1.20477,0.67288,1.05279,0.94244,0.87888,0.93688,0.61009,1.31309,0.6907,1.06469,0.000526,0.000526,0.000526
26,1194.97,1.20246,0.656,1.05439,0.92761,0.88497,0.93617,0.61536,1.31484,0.69327,1.06539,0.000521875,0.000521875,0.000521875
27,1240.68,1.16237,0.62601,1.04185,0.92337,0.90345,0.94109,0.61475,1.29929,0.66553,1.0652,0.00051775,0.00051775,0.00051775
28,1286.57,1.18344,0.64682,1.04015,0.94538,0.90245,0.942,0.6223,1.25157,0.66328,1.0489,0.000513625,0.000513625,0.000513625
29,1332.58,1.16745,0.62924,1.03139,0.95041,0.88882,0.93601,0.62468,1.25825,0.66265,1.04222,0.0005095,0.0005095,0.0005095
30,1378.5,1.17215,0.62864,1.05071,0.92507,0.89521,0.93996,0.61914,1.30089,0.66674,1.06099,0.000505375,0.000505375,0.000505375
31,1424.43,1.14715,0.62189,1.02828,0.9269,0.88645,0.941,0.62821,1.29304,0.65224,1.05682,0.00050125,0.00050125,0.00050125
32,1470.39,1.1335,0.62283,1.02418,0.94085,0.89191,0.94107,0.63314,1.25513,0.64773,1.04787,0.000497125,0.000497125,0.000497125
33,1516.32,1.12505,0.60688,1.02709,0.94015,0.8877,0.93931,0.62657,1.25636,0.63363,1.04863,0.000493,0.000493,0.000493
34,1562.24,1.11645,0.60006,1.01909,0.92966,0.89441,0.93311,0.62369,1.25771,0.65705,1.05097,0.000488875,0.000488875,0.000488875
35,1608.15,1.13284,0.60419,1.03014,0.94837,0.88268,0.94294,0.63856,1.24288,0.62763,1.03577,0.00048475,0.00048475,0.00048475
36,1654.54,1.10868,0.58163,1.01821,0.94874,0.9037,0.946,0.64179,1.2094,0.62269,1.03219,0.000480625,0.000480625,0.000480625
37,1705.64,1.09993,0.59553,1.00841,0.94102,0.89981,0.94412,0.62737,1.23587,0.6372,1.0378,0.0004765,0.0004765,0.0004765
38,1785.21,1.09488,0.56987,1.00256,0.93756,0.90499,0.94288,0.63275,1.26162,0.62177,1.04736,0.000472375,0.000472375,0.000472375
39,1839.21,1.1014,0.57922,1.00031,0.94798,0.8953,0.9528,0.64046,1.23723,0.60735,1.03949,0.00046825,0.00046825,0.00046825
40,1885.75,1.08122,0.56355,1.00201,0.93842,0.909,0.94985,0.63616,1.27665,0.60966,1.0462,0.000464125,0.000464125,0.000464125
41,1931.86,1.0741,0.57043,0.99172,0.94982,0.9085,0.95337,0.63435,1.25218,0.60056,1.0423,0.00046,0.00046,0.00046
